127.0.0.1 - - [01/Oct/2025:13:25:29 +0200] "GET / HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:16 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9267
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:16 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:17 +0200] "GET /Projekt/verlauf.jsp?page=1 HTTP/1.1" 200 15569
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:31:17 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:19 +0200] "GET /Projekt/verlauf.jsp?page=1 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:19 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:19 +0200] "GET /Projekt/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:19 +0200] "GET /Projekt/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:19 +0200] "GET /Projekt/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:20 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:21 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:21 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:21 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:21 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:21 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:22 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:22 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:22 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:22 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:23 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:26 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9348
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:26 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:42 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:42 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:43 +0200] "GET /Projekt/verlauf.jsp?page=1 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:43 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:44 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:44 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:45 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:45 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:46 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6771
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:32:46 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:15 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6869
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:15 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:17 +0200] "GET /Projekt/verlauf.jsp?page=5 HTTP/1.1" 500 1022
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:17 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/wasser_still.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/wasser_medium.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/bier.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/wasser_sprudel.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/kaffe.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/cola.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:19 +0200] "GET /Projekt/Icon/iso.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:21 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:21 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:50 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:50 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:52 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:52 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:53 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:53 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:53 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:53 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:54 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:54 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:54 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:54 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:55 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:55 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:55 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:55 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:56 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:57 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:57 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:57 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:57 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:59 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:59 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:59 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:33:59 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:00 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:00 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:00 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:00 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /Projekt/verlauf.jsp?page=1 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:01 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:03 +0200] "GET /Projekt/verlauf.jsp?page=0 HTTP/1.1" 200 15659
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:03 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:03 +0200] "GET /Projekt/verlauf.jsp?page=2 HTTP/1.1" 200 9237
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:03 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:04 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:05 +0200] "GET /Projekt/verlauf.jsp?page=4 HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:05 +0200] "GET /Projekt/verlauf.jsp?page=3 HTTP/1.1" 200 9198
0:0:0:0:0:0:0:1 - - [01/Oct/2025:13:34:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
